uuid,work_id,item_type,series,year,month,format,title,clean_title,part_index,part_total,proposed_filename,proposed_filename_display
53,w-dialogue-questions-and-answers,lecture,Devotional Nonduality,2003,12,DVD,"Dialogue, Questions, and Answers","Dialogue, Questions, and Answers",2,3,"2003-12_Dialogue,_Questions,_and_Answers_[2-3].mp4","2003-12_Dialogue,_Questions,_and_Answers_[2/3].mp4"
54,w-dialogue-questions-and-answers,lecture,Devotional Nonduality,2003,12,DVD,"Dialogue, Questions, and Answers","Dialogue, Questions, and Answers",3,3,"2003-12_Dialogue,_Questions,_and_Answers_[3-3].mp4","2003-12_Dialogue,_Questions,_and_Answers_[3/3].mp4"
55,w-thought-and-ideation,lecture,Transcending the Mind,2004,02,DVD,Thought and Ideation,Thought and Ideation,1,3,2004-02_Thought_and_Ideation_[1-3].mp4,2004-02_Thought_and_Ideation_[1/3].mp4
56,w-thought-and-ideation,lecture,Transcending the Mind,2004,02,DVD,Thought and Ideation,Thought and Ideation,2,3,2004-02_Thought_and_Ideation_[2-3].mp4,2004-02_Thought_and_Ideation_[2/3].mp4
57,w-thought-and-ideation,lecture,Transcending the Mind,2004,02,DVD,Thought and Ideation,Thought and Ideation,3,3,2004-02_Thought_and_Ideation_[3-3].mp4,2004-02_Thought_and_Ideation_[3/3].mp4
58,w-emotions-sensations,lecture,Transcending the Mind,2004,04,DVD,Emotions and Sensations,Emotions and Sensations,1,3,2004-04_Emotions_and_Sensations_[1-3].mp4,2004-04_Emotions_and_Sensations_[1/3].mp4
59,w-emotions-sensations,lecture,Transcending the Mind,2004,04,DVD,Emotions and Sensations,Emotions and Sensations,2,3,2004-04_Emotions_and_Sensations_[2-3].mp4,2004-04_Emotions_and_Sensations_[2/3].mp4
60,w-emotions-sensations,lecture,Transcending the Mind,2004,04,DVD,Emotions and Sensations,Emotions and Sensations,3,3,2004-04_Emotions_and_Sensations_[3-3].mp4,2004-04_Emotions_and_Sensations_[3/3].mp4
61,w-perception-and-positionality,lecture,Transcending the Mind,2004,06,DVD,Perception and Positionality,Perception and Positionality,1,3,2004-06_Perception_and_Positionality_[1-3].mp4,2004-06_Perception_and_Positionality_[1/3].mp4
62,w-perception-and-positionality,lecture,Transcending the Mind,2004,06,DVD,Perception and Positionality,Perception and Positionality,2,3,2004-06_Perception_and_Positionality_[2-3].mp4,2004-06_Perception_and_Positionality_[2/3].mp4
63,w-perception-and-positionality,lecture,Transcending the Mind,2004,06,DVD,Perception and Positionality,Perception and Positionality,3,3,2004-06_Perception_and_Positionality_[3-3].mp4,2004-06_Perception_and_Positionality_[3/3].mp4
64,w-identification-illusion,lecture,Transcending the Mind,2004,08,DVD,Identification and Illusion,Identification and Illusion,1,3,2004-08_Identification_and_Illusion_[1-3].mp4,2004-08_Identification_and_Illusion_[1/3].mp4
65,w-identification-illusion,lecture,Transcending the Mind,2004,08,DVD,Identification and Illusion,Identification and Illusion,2,3,2004-08_Identification_and_Illusion_[2-3].mp4,2004-08_Identification_and_Illusion_[2/3].mp4
66,w-identification-illusion,lecture,Transcending the Mind,2004,08,DVD,Identification and Illusion,Identification and Illusion,3,3,2004-08_Identification_and_Illusion_[3-3].mp4,2004-08_Identification_and_Illusion_[3/3].mp4
67,w-witnessing-and-observing,lecture,Transcending the Mind,2004,10,DVD,Witnessing and Observing,Witnessing and Observing,1,3,2004-10_Witnessing_and_Observing_[1-3].mp4,2004-10_Witnessing_and_Observing_[1/3].mp4
68,w-witnessing-and-observing,lecture,Transcending the Mind,2004,10,DVD,Witnessing and Observing,Witnessing and Observing,2,3,2004-10_Witnessing_and_Observing_[2-3].mp4,2004-10_Witnessing_and_Observing_[2/3].mp4
69,w-witnessing-and-observing,lecture,Transcending the Mind,2004,10,DVD,Witnessing and Observing,Witnessing and Observing,3,3,2004-10_Witnessing_and_Observing_[3-3].mp4,2004-10_Witnessing_and_Observing_[3/3].mp4
70,w-the-ego-and-the-self,lecture,Transcending the Mind,2004,12,DVD,The Ego and The Self,The Ego and The Self,1,3,2004-12_The_Ego_and_The_Self_[1-3].mp4,2004-12_The_Ego_and_The_Self_[1/3].mp4
71,w-the-ego-and-the-self,lecture,Transcending the Mind,2004,12,DVD,The Ego and The Self,The Ego and The Self,2,3,2004-12_The_Ego_and_The_Self_[2-3].mp4,2004-12_The_Ego_and_The_Self_[2/3].mp4
72,w-the-ego-and-the-self,lecture,Transcending the Mind,2004,12,DVD,The Ego and The Self,The Ego and The Self,3,3,2004-12_The_Ego_and_The_Self_[3-3].mp4,2004-12_The_Ego_and_The_Self_[3/3].mp4
73,w-vision,lecture,Nonduality Intensive,2005,02,DVD,Vision,Vision,1,3,2005-02_Vision_[1-3].mp4,2005-02_Vision_[1/3].mp4
74,w-vision,lecture,Nonduality Intensive,2005,02,DVD,Vision,Vision,2,3,2005-02_Vision_[2-3].mp4,2005-02_Vision_[2/3].mp4
75,w-vision,lecture,Nonduality Intensive,2005,02,DVD,Vision,Vision,3,3,2005-02_Vision_[3-3].mp4,2005-02_Vision_[3/3].mp4
76,w-alignment,lecture,Nonduality Intensive,2005,04,DVD,Alignment,Alignment,1,3,2005-04_Alignment_[1-3].mp4,2005-04_Alignment_[1/3].mp4
77,w-alignment,lecture,Nonduality Intensive,2005,04,DVD,Alignment,Alignment,2,3,2005-04_Alignment_[2-3].mp4,2005-04_Alignment_[2/3].mp4
78,w-alignment,lecture,Nonduality Intensive,2005,04,DVD,Alignment,Alignment,3,3,2005-04_Alignment_[3-3].mp4,2005-04_Alignment_[3/3].mp4
79,w-intention,lecture,Nonduality Intensive,2005,05,DVD,Intention,Intention,1,3,2005-05_Intention_[1-3].mp4,2005-05_Intention_[1/3].mp4
80,w-intention,lecture,Nonduality Intensive,2005,05,DVD,Intention,Intention,2,3,2005-05_Intention_[2-3].mp4,2005-05_Intention_[2/3].mp4
81,w-intention,lecture,Nonduality Intensive,2005,05,DVD,Intention,Intention,3,3,2005-05_Intention_[3-3].mp4,2005-05_Intention_[3/3].mp4
82,w-transcending-barriers,lecture,Nonduality Intensive,2005,06,DVD,Transcending Barriers,Transcending Barriers,1,3,2005-06_Transcending_Barriers_[1-3].mp4,2005-06_Transcending_Barriers_[1/3].mp4
